City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-05-04 19:37:36,-54.8,-68.3,42.46,65,75,9.22
1,Hobart,AU,2022-05-04 19:40:18,-42.8794,147.3294,42.66,90,21,6.91
2,Hermanus,ZA,2022-05-04 19:40:33,-34.4187,19.2345,62.46,85,99,8.48
3,Provideniya,RU,2022-05-04 19:40:33,64.3833,-173.3,29.28,77,58,8.59
4,Fortuna,US,2022-05-04 19:40:34,40.5982,-124.1573,60.93,85,40,12.66
5,Valea Stanciului,RO,2022-05-04 19:40:34,43.9833,23.8667,57.49,84,100,4.56
6,Port Elizabeth,ZA,2022-05-04 19:35:35,-33.918,25.5701,62.1,94,40,2.3
7,Grindavik,IS,2022-05-04 19:40:35,63.8424,-22.4338,39.15,60,75,5.75
8,Brae,GB,2022-05-04 19:40:35,60.3964,-1.353,47.01,73,97,17.22
9,Kapaa,US,2022-05-04 19:40:35,22.0752,-159.319,77.11,82,75,18.41
10,Punta Arenas,CL,2022-05-04 19:40:08,-53.15,-70.9167,46.51,71,40,19.57
11,Leh,IN,2022-05-04 19:40:36,34.1667,77.5833,46.22,50,99,5.37
12,New Norfolk,AU,2022-05-04 19:40:36,-42.7826,147.0587,42.3,81,46,1.97
13,Avarua,CK,2022-05-04 19:40:37,-21.2078,-159.775,80.65,78,60,9.22
14,Hamilton,US,2022-05-04 19:40:28,39.1834,-84.5333,61.63,76,100,8.05
15,Saint-Philippe,RE,2022-05-04 19:40:37,-21.3585,55.7679,74.79,86,44,13.96
16,Lebu,CL,2022-05-04 19:40:38,-37.6167,-73.65,57.79,87,98,15.5
17,Hithadhoo,MV,2022-05-04 19:40:38,-0.6,73.0833,84.15,74,100,20.38
18,Abay,KZ,2022-05-04 19:40:39,49.6311,72.8539,30.58,75,0,5.73
19,Cape Town,ZA,2022-05-04 19:38:15,-33.9258,18.4232,61.27,90,100,7.0
20,Rikitea,PF,2022-05-04 19:40:39,-23.1203,-134.9692,77.43,84,100,19.71
21,Daru,PG,2022-05-04 19:40:39,-9.0763,143.2092,79.16,82,71,8.57
22,Comodoro Rivadavia,AR,2022-05-04 19:40:40,-45.8667,-67.5,66.06,32,20,18.41
23,Puerto Ayora,EC,2022-05-04 19:40:40,-0.7393,-90.3518,84.16,80,69,10.04
24,Wanning,CN,2022-05-04 19:40:41,18.8003,110.3967,71.35,94,46,7.81
25,Bathsheba,BB,2022-05-04 19:40:41,13.2167,-59.5167,86.61,70,40,17.27
26,Barrow,US,2022-05-04 19:40:02,71.2906,-156.7887,14.02,85,100,14.97
27,Cabo San Lucas,MX,2022-05-04 19:39:45,22.8909,-109.9124,85.05,38,0,9.22
28,Jamestown,US,2022-05-04 19:39:57,42.097,-79.2353,53.53,93,100,12.66
29,Busselton,AU,2022-05-04 19:40:42,-33.65,115.3333,52.48,63,0,12.95
30,Shelburne,CA,2022-05-04 19:40:42,44.0787,-80.2041,53.24,68,47,10.51
31,Tuatapere,NZ,2022-05-04 19:40:42,-46.1333,167.6833,52.47,86,93,5.06
32,Qui Nhon,VN,2022-05-04 19:40:43,13.7667,109.2333,76.01,82,100,5.84
33,Meulaboh,ID,2022-05-04 19:40:43,4.1363,96.1285,76.48,92,100,6.49
34,Nuevo Progreso,MX,2022-05-04 19:40:43,23.1667,-97.95,90.54,55,27,5.99
35,Chokurdakh,RU,2022-05-04 19:40:44,70.6333,147.9167,4.91,97,73,0.63
36,Christchurch,NZ,2022-05-04 19:39:43,-43.5333,172.6333,56.95,93,100,4.61
37,Tuktoyaktuk,CA,2022-05-04 19:40:44,69.4541,-133.0374,24.8,93,100,12.66
38,Albany,US,2022-05-04 19:36:17,42.6001,-73.9662,55.38,90,100,0.98
39,Victoria,HK,2022-05-04 19:39:56,22.2855,114.1577,76.17,76,48,5.99
40,Impfondo,CG,2022-05-04 19:40:45,1.6381,18.0667,72.5,94,100,4.03
41,Salym,RU,2022-05-04 19:40:45,60.0625,71.4789,46.42,61,9,11.48
42,Alofi,NU,2022-05-04 19:40:46,-19.0595,-169.9187,76.89,78,40,8.05
43,Buala,SB,2022-05-04 19:40:46,-8.145,159.5921,80.2,78,31,4.18
44,Markdorf,DE,2022-05-04 19:36:56,47.7167,9.4,56.73,75,0,1.14
45,Swellendam,ZA,2022-05-04 19:41:47,-34.0226,20.4417,61.75,88,75,1.68
46,Nioro,GM,2022-05-04 19:41:47,13.35,-15.75,85.91,29,6,12.39
47,Ixtapa,MX,2022-05-04 19:41:48,20.7,-105.2,79.83,69,0,13.8
48,Ambilobe,MG,2022-05-04 19:41:48,-13.2,49.05,71.65,87,30,3.91
49,Leningradskiy,RU,2022-05-04 19:41:49,69.3833,178.4167,14.45,91,42,8.14
50,Hilo,US,2022-05-04 19:36:57,19.7297,-155.09,81.28,96,100,9.22
51,Nsanje,MW,2022-05-04 19:41:49,-16.92,35.262,67.73,94,80,2.68
52,Sitka,US,2022-05-04 19:41:49,57.0531,-135.33,46.29,66,100,8.05
53,Bikin,RU,2022-05-04 19:41:50,46.8161,134.26,41.83,75,42,8.61
54,Iquique,CL,2022-05-04 19:41:50,-20.2208,-70.1431,68.04,70,25,3.06
55,Pallasovka,RU,2022-05-04 19:41:51,50.05,46.8833,53.87,42,34,8.7
56,Mataura,NZ,2022-05-04 19:41:51,-46.1927,168.8643,46.47,87,12,3.18
57,Grand Gaube,MU,2022-05-04 19:41:52,-20.0064,57.6608,79.2,74,11,8.01
58,Severo-Kurilsk,RU,2022-05-04 19:41:52,50.6789,156.125,34.14,84,100,5.19
59,General Pico,AR,2022-05-04 19:41:52,-35.6566,-63.7568,74.59,24,75,9.26
60,Namwala,ZM,2022-05-04 19:41:53,-15.7504,26.4384,66.25,60,79,6.93
61,Yellowknife,CA,2022-05-04 19:41:53,62.456,-114.3525,37.92,87,100,20.71
62,Te Anau,NZ,2022-05-04 19:41:54,-45.4167,167.7167,49.44,91,83,1.92
63,Bluff,NZ,2022-05-04 19:41:54,-46.6,168.3333,46.8,81,40,8.52
64,Dingle,PH,2022-05-04 19:41:54,10.9995,122.6711,77.23,85,97,6.6
65,Bredasdorp,ZA,2022-05-04 19:41:55,-34.5322,20.0403,59.68,95,61,3.2
66,Vila Velha,BR,2022-05-04 19:41:55,-20.3297,-40.2925,89.55,74,0,13.8
67,Srednekolymsk,RU,2022-05-04 19:41:56,67.45,153.6833,30.38,95,100,1.16
68,Atuona,PF,2022-05-04 19:41:56,-9.8,-139.0333,80.04,68,31,14.45
69,Lutkun,RU,2022-05-04 19:41:56,41.4808,47.6858,51.73,79,99,3.96
70,Maku,IR,2022-05-04 19:41:57,39.2911,44.4521,57.81,72,75,0.0
71,Hofn,IS,2022-05-04 19:41:57,64.2539,-15.2082,41.02,65,100,8.05
72,Sao Filipe,CV,2022-05-04 19:41:58,14.8961,-24.4956,72.77,82,15,7.63
73,Matara,LK,2022-05-04 19:41:58,5.9485,80.5353,79.61,87,100,10.45
74,Nikki,BJ,2022-05-04 19:41:58,9.9401,3.2108,82.69,60,98,9.01
75,Lorengau,PG,2022-05-04 19:41:59,-2.0226,147.2712,80.62,82,100,3.87
76,Camacha,PT,2022-05-04 19:41:59,33.0833,-16.3333,60.22,77,75,14.97
77,Cidreira,BR,2022-05-04 19:42:00,-30.1811,-50.2056,67.01,85,86,16.96
78,Butaritari,KI,2022-05-04 19:42:00,3.0707,172.7902,81.03,78,100,11.59
79,Bengkulu,ID,2022-05-04 19:42:00,-3.8004,102.2655,75.85,87,100,2.93
80,Mount Isa,AU,2022-05-04 19:42:01,-20.7333,139.5,67.77,34,5,12.66
81,Clyde River,CA,2022-05-04 19:42:01,70.4692,-68.5914,21.43,73,100,5.75
82,Hambantota,LK,2022-05-04 19:42:02,6.1241,81.1185,80.44,83,99,15.43
83,Naze,JP,2022-05-04 19:42:02,28.3667,129.4833,70.72,80,100,14.61
84,San Policarpo,PH,2022-05-04 19:42:02,12.1791,125.5072,80.53,81,100,10.31
85,Thompson,CA,2022-05-04 19:42:03,55.7435,-97.8558,28.56,69,100,10.36
86,Narsaq,GL,2022-05-04 19:42:03,60.9167,-46.05,43.02,48,4,3.24
87,Ibadan,NG,2022-05-04 19:42:04,7.3878,3.8964,74.59,96,99,5.3
88,Kyzyl-Mazhalyk,RU,2022-05-04 19:43:04,51.1333,90.6,39.43,34,58,3.51
89,Ibra,OM,2022-05-04 19:43:05,22.6906,58.5334,81.36,27,0,3.04
90,Plouzane,FR,2022-05-04 19:43:05,48.3833,-4.6167,53.92,87,40,9.22
91,Salou,ES,2022-05-04 19:43:06,41.0766,1.1416,62.24,77,20,0.0
92,Port Alfred,ZA,2022-05-04 19:43:06,-33.5906,26.891,65.43,86,52,4.41
93,Jining,CN,2022-05-04 19:43:07,35.405,116.5814,60.13,50,0,9.1
94,Arraial Do Cabo,BR,2022-05-04 19:43:07,-22.9661,-42.0278,87.76,70,20,13.8
95,Cherskiy,RU,2022-05-04 19:43:08,68.75,161.3,32.47,100,100,3.44
96,Nador,MA,2022-05-04 19:43:10,35.174,-2.9287,61.05,77,20,8.05
97,Zhangye,CN,2022-05-04 19:43:10,38.9342,100.4517,65.19,18,6,6.58
98,Guasdualito,VE,2022-05-04 19:43:11,7.2424,-70.7324,93.4,39,57,4.45
99,Lieksa,FI,2022-05-04 19:43:11,63.3167,30.0167,26.73,88,84,2.89
100,Goderich,CA,2022-05-04 19:43:12,43.7501,-81.7165,46.9,81,53,19.57
101,Rockhampton,AU,2022-05-04 19:40:18,-23.3833,150.5,67.89,88,22,5.75
102,Bahadurganj,IN,2022-05-04 19:43:12,26.2667,87.8167,80.11,59,92,10.09
