,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,81.27,78,76,13.2,light rain
1,Ushuaia,AR,-54.8,-68.3,42.46,75,40,24.16,scattered clouds
2,Vestmannaeyjar,IS,63.4427,-20.2734,46.53,81,100,2.19,overcast clouds
3,Tacuarembo,UY,-31.7333,-55.9833,58.32,87,100,3.87,overcast clouds
4,Atuona,PF,-9.8,-139.0333,78.98,76,21,20.83,few clouds
5,Yellowknife,CA,62.456,-114.3525,27.12,63,100,19.57,overcast clouds
6,Wajima,JP,37.4,136.9,57.6,59,3,12.48,clear sky
7,Barrow,US,71.2906,-156.7887,30.22,86,100,14.97,overcast clouds
8,Bluff,NZ,-46.6,168.3333,51.8,67,76,4.56,broken clouds
9,Bogorodskoye,RU,56.55,37.8833,34.61,89,66,7.67,broken clouds
10,Caravelas,BR,-17.7125,-39.2481,72.25,83,15,11.36,few clouds
11,Bloomingdale,US,27.8936,-82.2404,88.11,59,0,11.5,clear sky
12,Bredasdorp,ZA,-34.5322,20.0403,52.9,83,77,3.94,broken clouds
13,New Norfolk,AU,-42.7826,147.0587,45.91,82,37,3.22,scattered clouds
14,Gorin,RU,51.1983,136.6669,48.81,55,8,0.43,clear sky
15,Punta Arenas,CL,-53.15,-70.9167,42.91,81,20,5.75,few clouds
16,Axim,GH,4.8699,-2.2405,80.74,82,100,6.67,overcast clouds
17,Cruzeiro Do Sul,BR,-29.5128,-51.9853,59.38,92,1,0.63,clear sky
18,Castro,BR,-24.7911,-50.0119,58.62,86,80,5.03,broken clouds
19,Fort Nelson,CA,58.8053,-122.7002,36.99,65,75,13.8,broken clouds
20,Severo-Kurilsk,RU,50.6789,156.125,38.12,94,88,16.04,light rain
21,Rikitea,PF,-23.1203,-134.9692,76.14,70,12,9.46,few clouds
22,Santa Rosa,PH,14.3122,121.1114,84.02,71,36,8.43,scattered clouds
23,Camacha,PT,33.0833,-16.3333,62.02,82,20,12.66,few clouds
24,Teahupoo,PF,-17.8333,-149.2667,80.56,76,41,12.84,scattered clouds
25,Abu Dhabi,AE,24.4667,54.3667,82.51,51,0,10.36,clear sky
26,Jamestown,US,42.097,-79.2353,73.04,16,0,4.61,clear sky
27,Puerto Ayora,EC,-0.7393,-90.3518,80.56,79,55,7.76,broken clouds
28,Arona,ES,28.0996,-16.681,66.02,83,0,1.14,clear sky
29,Marsaxlokk,MT,35.8419,14.5431,61.09,94,20,4.61,few clouds
30,Nuuk,GL,64.1835,-51.7216,32.61,80,100,27.63,light snow
31,Bambous Virieux,MU,-20.3428,57.7575,73.65,100,40,4.61,light rain
32,Prince Rupert,CA,54.3161,-130.3201,50.09,83,100,6.91,overcast clouds
